waa’ankieli	escamaen el tobillo
woimistelutunti	clase de gimnasia
woimisteluvanne	juramento gimnástico
woimisteluväline	gimnasia
woimistus	amplificación
woinappi	botón de mantequilla
woinokare	voinokare
wointi	sentirse bien
woipaketti	paquete de mantequilla
woipaperi	papel similsulfurizado
woipulla	butterball
woipumus	pluralidad
woipuu	shea
woirasia	caja de mantequilla
woisarvi	croissants
woisilmä	ojo de caramelo de mantequilla
woisilmäpulla	pan de ojos de mantequilla
woisula	mantequilla derretida
woitaikina	Hojaldre
woitatti	ganada
woitava	poder
woitelu	lubrificación
woiteluaine	lubricante
woitelujärjestelmä	sistema de lubricación
woitelunippa	engrasador
woitelupuristin	prensa lubricante
woiteluteho	poder lubricante
woiteluvirhe	error de lubricación
woiteluöljy	lubricante
woitokkuus	victorias
woitonhaave	el sueño de la victoria
woitonhalu	deseo de ganar
woitonhimo	ansia de ganancias
woitonhurma	triunfante
woitonhuuma	triunfante
woitonjako	reparto de superávit
woitonjano	sed de ganancias
woitonmahdollisuus	posibilidad de ganar
woitonmalja	brindis de victoria
woitonmerkki	insignia de la victoria
woitonnälkä	hambre de victoria
woitonpäivä	día de la Victoria
woitonriemu	triunfo
woitonsanoma	mensaje de victoria
woitonseppele	corona de la Victoria
woitontahto	voluntad de ganar
woitontahtoisuus	voluntad de ganar
woitontoive	deseo ganar
woitonvarmuus	certeza del beneficio
woittaja	campeón
woittajaehdokas	ganador-designado
woittajajoukkue	equipo ganador
woittajakandidaatti	candidato ganador
woittajasuosikki	favorito del ganador
woittajavaltio	país ganador
woittamattomuus	invencibilidad
woitto	ganancia
woittoaika	tiempo de ganancia
woittoarpa	ganar boleto
woittoheitto	lanzamiento de victoria
woittohyppy	salto de la victoria
woittoisuus	victoriosidad
woittokulku	proceso victorioso
woittoluettelo	lista de pagos
woittoluokka	categoría ganadora
woittomaali	gol ganador
woittomarginaali	margen de beneficio
woittonumero	número de premio
woitto-osuus	participación en los beneficios
woittopeli	ganar juego
woittopiste	win point
woittoprosentti	margen de beneficios
woittopuoli	lado ganador
woittoputki	racha ganadora
woittosumma	cantidad ganada
woittotulos	resultado ganador
woittovarat	estado de movimientos de recursos propios
woivaahto	suero de leche
woiveitsi	cuchillo de mantequilla
woivottelu	saludo
woivotus	convalecencia
woivuori	forro de mantequilla
woivutus	apalancamiento
wok	wok
wokaali	Vocal
wokaalimusiikki	música vocal
wokaalisointu	acorde de vocales
wokaalivartalo	cuerpo vocal
wokalisti	vocalista
wokkaus	vokkaus
wokkaus	despertado
wokki	wok
wokki	wokki
wokkipannu	wok pan
wokkipannu	wok pan
wokkiruoka	comida wok
wokkiruoka	comida wok
wokottelu	despertado
wokpannu	wok pot
wolatiliteetti	volatilidad
wol-au-vent	vol-au-vent
wolframi	Wolframio
wolgansieni	champiñón volga
wolgansienitee	té de champiñones volga
wollotus	vollitus
woltti	V
woltti	V
wolttihyppy	salto de pliegue
wolttilähtö	salida de voltios
wolttimittari	voltímetro
wolyymi	volumen
wompatti	wombat
wongunta	wongunta
wonkale	vonkale
wonkamies	wiggle man
wonton	wonton
woodoo	Vudú
wooninki	vooninki
worcesterkastike	salsa worcester
worcestershirekastike	salsa worcestershire
worcestershirenkastike	salsa worcestershire
workshop	taller
wormu	formulario
woro	voro
worschmack	vorschmack
wosikka	ternera
wossikka	vossikka
wosu	vosu
wotiivilahja	regalo de válvula
wotiivilaiva	barco votivo
wotiivitaulu	junta votiva
wotjakki	vodka
wotka	vodka
wotkaturisti	turista de vodka
woucher	cupón
wouhake	cupón
wouhottaja	renuncia
wouhotus	cupón
wouti	cupón
woyeurismi	Brechero
woyeuristi	voyeurista
V-pääntie	Carretera con cuello en V
wrap	envoltura
wrappi	envoltura
wräppi	wrap
V-tyyli	Estilo V
wulgaarilatina	latín vulgar
wulgarismi	vulgarismo
wulgarisointi	vulgarización
wulkaani	volcán
wulkaniitti	vulcanita
wulkanointi	polimerización
wulkanologi	vulcanólogo
wulkanologia	vulcanología
wulva	vulva
wuo	flujo
wuodatus	efusión
wuode	cama
wuodehoito	reposo en cama
wuodekatos	dosel
wuodekumppani	compañero de cama
wuodelepo	Descanso en cama
wuodenaika	temporada
wuodenaikaisilmiö	fenómeno estacional
wuodenaikamasennus	Depresión estacional
wuodenkierto	ciclo anual
wuodenpäivä	aniversario
wuodentulo	ingresos anuales
wuodenvaihde	nochevieja
wuodeosasto	sala de pacientes hospitalizados
wuodepaikka	lugar para dormir
wuodepotilas	paciente en cama
wuodesohva	sofá cama
wuodetarjotin	bandeja de cama
wuodetoveri	compañero de cama
wuodevaate	ropa de cama
wuodevaatelaatikko	cajón de ropa de cama
wuohenjuusto	queso de cabra
wuohenmaito	Leche de cabra
wuohennahka	piel de cabritilla
wuohennokka	escarabajo de la cabra
wuohenputki	tubo de cabra
wuohenvilla	lana de cabra
wuohi	cabra
wuohikas	tafilete
wuohilauma	rebaño de cabras
wuohinen	cuartilla
wuohipukki	cabra cabra
wuohisrohtuma	erosión caprina
wuohissukka	calcetín de cabra
wuoka	Pote
wuokaavio	gráfico de Nassi-Shneiderman
wuokaleipä	pan
wuokaleivonnainen	magdalena
wuokaleivos	magdalena
wuokaruoka	comida alquilada
wuokko	Anemone
wuokra	alquiler
wuokra-aika	periodo de alquiler
wuokraaja	arrendatario
wuokra-ajuri	conductor de alquiler
wuokra-alue	superficie arrendada
wuokraamo	empresa de alquiler
wuokra-asuminen	vivienda de alquiler
wuokra-asunto	vivienda de alquiler
wuokra-auto	vehículo de alquiler
wuokraehto	plazo de alquiler
wuokraemäntä	casera
wuokraennakko	adelanto de alquiler
wuokrahoitaja	arrendatario
wuokrahuone	habitación de alquiler
wuokrahuoneisto	apartamento de alquiler
wuokraisäntä	arrendador
wuokrakasarmi	cuartel alquilado
wuokralainen	arrendatario
wuokralääkäri	médico arrendatario
wuokramaa	terreno arrendado
wuokramies	arrendatario
wuokramökki	alquiler de casas de campo
wuokranalennus	reducción de alquiler
wuokranantaja	arrendador
wuokrankorotus	aumento del alquiler
wuokranmaksaja	pagador de alquileres
wuokranmaksu	pago de alquiler
wuokransaaja	arrendatario
wuokraoikeus	derechos de traspaso
wuokrapelaaja	reproductor de alquiler
wuokrapuhelin	teléfono de alquiler
wuokrapuku	traje de alquiler
wuokraraha	dinero para alquilar
wuokrasopimus	contrato de alquiler
wuokrasuhde	contrato de arrendamiento
wuokrasäännöstely	control de alquileres
wuokrasääntely	regulación de alquileres
wuokratakuu	garantía de alquiler
wuokratalo	vivienda de alquiler
wuokrataso	importe del canon
wuokratila	espacio alquilado
wuokratilallinen	inquilino
wuokratontti	parcela arrendada
wuokratulot	los ingresos procedentes de indemnizaciones arrendaticias;
wuokratyö	trabajo temporal
wuokratyöläinen	trabajador de agencia
wuokratyöntekijä	trabajador sustituto
wuokratyösuhde	relación laboral temporal
wuokratyövoima	mano de obra de agencia temporal
wuokraus	arrendamiento
wuokravakuus	depósito de seguridad
wuokraviljelijä	arrendador
wuokraviljelmä	explotación arrendada
wuokrayksiö	estudio de alquiler
wuoksi	marea creciente
wuoksiaalto	mascaret
wuolassanaisuus	ausencia de palabras fluida
wuolaus	flujo
wuoliainen	hinojo
wuolle	a
wuolu	flujo
wuolukerma	crema de flujo
wuolukivi	jabón de sastre
wuolupuukko	cuchillo de arándano rojo
wuona	flujo
wuonankaali	valeriana
wuono	ría
wuoraus	revestimiento
wuorauslauta	tablero de revestimiento
wuorauslevy	placa de revestimiento
wuorenhaltia	elfo de montaña
wuorenhaltija	soporte de montaña
wuorenharja	dorsal
wuorenhuippu	cima de montaña
wuorenkilpi	escudo de montaña
wuorenpeikko	troll de montaña
wuorenrinne	vertiente montañosa
wuorenseinä	muro de montaña
wuorenseinämä	muro de montaña
wuori	montaña
wuori	montaña
wuori-ilmasto	clima de montaña
wuori-insinööri	ingeniero de montaña
wuorijono	sierras
wuorikangas	tejido de forro
wuorikide	cristal de montaña
wuorikiipeilijä	montañero
wuorikiipeily	Montañismo
wuorikristalli	cristal de montaña
wuorilaudoitus	surf de montaña
wuorilauta	tabla de montaña
wuorilista	listón del marco exterior de la ventana
wuorimänty	pino de montaña
wuorineulos	tejido de punto por trama
wuorineuvos	consejero de montaña
wuoripalmu	palma de montaña
wuoripuro	arroyo de montaña
wuoriryhmä	grupo de montañas
wuorisaarna	sermón de montaña
wuorisilkki	forro exterior de seda
wuoristo	Cordillera
wuoristoalue	zona de montaña
wuoristoharjoittelu	formación en montaña
wuoristoilma	aire de montaña
wuoristoisuus	montañoso
wuoristokasvi	planta de montaña
wuoristokasvillisuus	vegetación de montaña
wuoristokiipeilijä	alpinista
wuoristokiipeily	escalada
wuoristokylä	pueblo de montaña
wuoristolainen	montaña
wuoristolaisheimo	tribu de montaña
wuoristoleiri	campamento de montaña
wuoristomaja	chalet
wuoristopolku	sendero de montaña
wuoristopuro	torrente
wuoristorata	ferrocarril de montaña
wuoristoseutu	zonas montañosas
wuoristotauti	vértigo
wuoristotie	carretera de montaña
wuoristoylänkö	meseta montañosa
wuorisuola	Sal gema
wuoritekniikka	tecnología de montaña
wuoriteollisuus	industria de montaña
wuoritus	liner
wuorivaahtera	sicómoro
wuorivanu	guata de montaña
wuorivilla	lana de roca
wuoro	turno
wuoroasuminen	residencia alterna
wuorohiihto	esquí de fondo
wuoroittaisuus	alternancia
wuorojärjestys	orden de turno
wuorokaudenaika	• hora del día;
wuorokausi	día civil
wuorokausimaksu	tarifa diaria
wuorokausirytmi	ritmo circadiano
wuorokausivaihtelu	variación diurna
wuorokeskustelu	conversación de turno
wuorokone	máquina de cambios
wuorolaulu	shift song
wuoroluku	recuento de turnos
wuoronumero	número de turno
wuoronvaihto	relevo de turno
wuoro-ote	extracto de turno
wuoropaikoitus	aparcamiento por turnos
wuoropari	par de cambios
wuoropuhelu	Medidas técnicas 1.4.
wuoropysäköinti	aparcamiento por turnos
wuoropäivä	día de turno
wuorosana	cociente
wuorosanaviiva	línea de giro
wuorotahti	ritmo de rotación
wuorotervehdys	saludo de turno
wuorottaja	palanca de cambios
wuorottelu	transposición
wuorotteluvapaa	licencia alterna
wuorotus	turno
wuorotyö	trabajo por turnos
wuorotyöläinen	trabajador por turnos
wuorotyöntekijä	trabajador por turnos
wuorovaikutteisuus	interactividad
wuorovaikutus	interacción
wuorovaikutussuhde	relación interpersonal
wuorovaikutustaito	habilidades interpersonales
wuorovesi	marea
wuorovesiaalto	maremoto
wuorovesienergia	energía mareomotriz
wuorovesivoimala	central mareomotriz
wuoroveto	tracción de cambio
wuoroviikko	semana de turno
wuoroviljely	rotación de cultivos
wuorovuosi	año de turno
wuoroväli	intervalo de turno
wuosi	año
wuosiansio	ingresos anuales
wuosibudjetti	Presupuesto Anual
wuosihoroskooppi	horóscopo anual
wuosihuolto	mantenimiento anual
wuosijuhla	aniversario
wuosijulkaisu	liberación anual
wuosikalenteri	calendario anual
wuosikasvain	tumor anual
wuosikasvu	crecimiento anual
wuosikatsaus	revisión anual
wuosikausi	año
wuosikerta	añada
wuosikertaviini	vino añejo
wuosikertomus	memoria del ejercicio
wuosikeskiarvo	Media anual
wuosikirja	anuario
wuosikokous	Reunión anual
wuosikorjaus	corrección anual
wuosikortti	tarjeta anual
wuosikulutus	consumo anual
wuosikurssi	clase del año
wuosikustannus	coste anual
wuosikymmen	Década
wuosilippu	pase anual
wuosiloma	Vacaciones anuales
wuosiluku	Año
wuosiluokka	clase de año
wuosilusto	anualidad
wuosimaksu	pago anual
wuosimalli	el año del modelo.
wuosimiljoona	millones al año
wuosimyynti	ventas anuales
wuosineljännes	trimestre
wuosipalkka	sueldo anual
wuosipalkkio	prima anual
wuosipuolisko	semestre
wuosipäivä	fecha anual
wuosiraportti	informe anual
wuosirengas	anillo anual
wuosisadanvaihde	cambio de siglo
wuosisata	siglo
wuosisataisjuhla	celebración del centenario
wuosisopimus	acuerdo anual
wuosisuunnitelma	plan anual
wuositarkastus	revisión anual
wuositase	balance anual
wuositilaaja	suscriptor anual
wuositilasto	estadística anual
wuositilaus	suscripción anual
wuosituhat	milenio
wuositulo	ingresos anuales
wuosituonti	importación anual
wuosituotanto	producción anual
wuosituotto	Retorno Anual
wuosivaihtelu	variación de un año a otro
wuosivaihto	rendimiento estándar
wuosivauhti	tasa anual
wuosiverso	sarmiento de un año
wuosivienti	exportación anual
wuosiviikkotunti	yearweek hora
wuosivoitto	beneficio anual
wuosivuokra	renta anual
wuota	piel
wuoteenkastelu	enuresis
wuoto	pérdida
wuotokohta	grieta
wuotuisavustus	subvención anual
wuotuisjuhla	celebración anual
wuotuismaksu	cuota anual
wuvuzela	vuvuzela
www	Vigilancia Meteorológica Mundial
www-osoite	Dirección Web
www-selain	Navegador web
www-sivu	"...Un foro
www-sivusto	Página web
www-vastaava	webmaster
wyyhdinpuu	huso
wyyhti	bobina
wyö	cinturón
wyöhihna	correa de cinturón
wyöhyke	zona tarifaria
wyöhykehakkuu	cortas por bosquetes uniformemente repartidos
wyöhykejako	división en zonas
wyöhykeraja	límite de zona tarifaria
wyöhyketerapia	reflexología
wyöhykkeisyys	zonificación
wyökoe	prueba de correa
wyökotelo	funda de correa
wyölaukku	bolso para cinturón
wyörengas	cubierta de armazón radial
wyöruusu	HERPES ZOSTER
wyöry	avalancha electrónica
wyörymä	desprendimiento de tierras
wyörytys	oscilación
wyöspektri	espectro de la cinta
wyöte	cinta engomada para envolturas
wyötiäinen	armadillo
wyötäiset	cintura
wyötärö	lomo
wyötäröalushame	falda interior de cintura
wyötäröesiliina	delantal de cintura
wyötäröhame	falda de cintura
wyötärökaitale	cintura
wyötärölaukku	riñonera
wyötärölihavuus	obesidad en la cintura
wyötärölinja	cintura
wyötärönauha	cintura
wyötärösauma	costura de la cintura
wäenkokous	asamblea Popular
wäenpaljous	multitud
wäentungos	abarrotado
wäestö	población
wäestöennuste	previsión de población
wäestökato	despoblamiento
wäestökehitys	tendencias demográficas
wäestökeskus	centro de población
wäestökirja	registro de población
wäestökirjanpito	contabilidad de la población
wäestölaskenta	censo de población
wäestöliike	movimiento de población
wäestöluettelo	lista de población
wäestömäärä	Población
wäestönkasvu	crecimiento de la población
wäestönkehitys	tendencia demográfica
wäestönlaskenta	censo
wäestönlisäys	aumento de la población
wäestönosa	población
wäestönsiirto	traslado de población
wäestönsuoja	protección civil
wäestönsuojelu	protección civil
wäestöntiheys	Densidad de población
wäestöpolitiikka	política natalista
wäestöpyramidi	pirámide de población
wäestörakenne	estructura de la población
wäestörekisteri	registro de la población
wäestöryhmä	Composición de la población
wäestöräjähdys	explosión demográfica
wäestösuoja	refugio de población
wäestösuunnite	tendencia de la población
wäestötappio	pérdida de población
wäestötiede	demografía
wäestötieteilijä	demógrafo
wäestötieto	información demográfica
wäestötietojärjestelmä	sistema de Información Poblacional
wäestötiheys	densidad de población
wäestötilasto	estadísticas demográficas
wäestötutkimus	encuesta de población general
wäestövastuu	responsabilidad demográfica
wäestövastuujärjestelmä	sistema de responsabilidad de la población
wäestövastuulääkäri	médico general
wäheksyntä	desdén
wähemmistö	minoría
wähemmistöhallitus	gobierno minoritario
wähemmistökansallisuus	nacionalidad minoritaria
wähemmistökieli	lengua regional
wähemmistöläinen	minoría
wähemmistöryhmä	Minoría
wähemmistövaltuutettu	Alto Comisionado para las Minorías Nacionales
wähemmyys	inferioridad
wähenemä	Nº
wähennettävä	minuendo
wähennys	descuento
wähennysjakautuminen	división reductora
wähennyskelpoisuus	deducibilidad
wähennyslasku	Resta
wähennysmerkki	marcador de resta
wähentymä	disminuir
wähentäjä	reductor
wähimmäisaika	tiempo mínimo
wähimmäisarvo	Valor mínimo:
wähimmäisehto	condición mínima
wähimmäiseläke	Pensión de vejez
wähimmäishinta	precio mínimo
wähimmäisikä	edad mínima
wähimmäismäärä	adjudicación mínima
wähimmäisnopeus	velocidad mínima
wähimmäispaino	Peso mínimo
wähimmäispalkka	salario mínimo
wähimmäisraja	límite mínimo
wähimmäistuontihinta	precio mínimo de importación
wähimmäisvaatimus	requisito mínimo
wähittäishinta	precio de venta al público
wähittäiskauppa	comercio minorista
wähittäiskauppahinta	precio de venta al público
wähittäismaksukauppa	tienda minorista de pagos
wähittäismyyjä	minorista
wähittäismyymälä	tienda minorista
wähittäismyynti	venta al por menor
wähittäispankki	banco minorista
wähittäispankkitoiminta	Banca minorista
wähyys	escasez
wähäeleisyys	baja mentalidad
wähäilmeisyys	bajaexpresión
wähäjärkisyys	hipocresía
wähälukuisuus	bajo número de personas
wähämielisyys	debilidad mental
wähäpätöisyys	trivialidad
wähäpäästöisyys	baja emisión
wähätelmä	subestimación
wähättely	subestimación
wähäverisyys	baja sanguinolencia
wähä-älyisyys	poca inteligencia
wäijyntä	emboscada
wäijytys	emboscada
wäijytysasema	estación de emboscada
wäikkäri	médico pequeño
wäinönputki	tubo tejedor
wäistin	dodger
wäistämisvelvollisuus	obligación de evadir
wäistämättömyys	inevitabilidad
wäistö	evasión
wäistöliike	maniobra de salvaguarda
wäistötila	modo de evacuación
wäistövelvollisuus	deber de evadir
wäite	aserción
wäitelause	oración argumental
wäittelijä	doctorando
wäittely	debate
wäittelytaito	habilidad para argumentar
wäittäjäiset	reclamantes
wäittämä	proposición
wäittäri	reclamante
wäitös	tesis
wäitöskirja	disertación
wäitöskirjatutkija	investigador DE tesis
wäitöstilaisuus	tesis
wäitöstutkimus	tesis doctoral
wäive	Piojo
wäkerrys	concentración
wäkevyys	concentración
wäkevöinti	concentración 
wäkevöite	nata concentrada
wäki	personas
wäkijoukko	multitud
wäkijuoma	licores
wäkikapula	escasez de multitudes
wäkikarttu	peoplechart
wäkilannoite	abono industrial comercial
wäkiluku	población
wäkinäisyys	forzado
wäkipakko	a la fuerza
wäkipyörä	polipasto
wäkipyörästö	engranaje de polea
wäkirehu	Pienso
wäkirynnäkkö	asalto
wäkisinmakaaminen	coerción
wäkivallantekijä	perpetrador
wäkivallanteko	acto de violencia
wäkivallattomuus	no violencia
wäkivalta	maltrato
wäkivaltaelokuva	película violenta
wäkivaltafilmi	película violenta
wäkivaltaisuus	violencia
wäkivaltakoneisto	maquinaria violenta
wäkivaltapolitiikka	política de violencia
wäkivaltarikollinen	delincuente violento
wäkivaltarikollisuus	delincuencia violenta
wäkivaltarikos	violencia criminal
wäkivaltavideo	vídeo violento
wäkivaltaviihde	entretenimiento violento
wäkiviina	licores
wäkkärä	arruga
wäkä	poderoso
wäkänen	pequeño
wäli	paso
wäliaika	Intermedio
wäliaikaishallitus	gobierno provisional
wäliaikaisravintola	restaurante temporal
wäliaikaisuus	temporalidad
wäliaikamerkki	signo de puntuación
wäliaikamusiikki	música interina
wäliaikatieto	información temporal
wäliaine	líquido operante
wäliaivot	Diencéfalo
wälialue	zona de separación
wäliaplodi	almohadilla intermedia
wäliarviointi	evaluación intermedia
wäliasema	estación de tránsito
wäliaste	etapa intermedia
wälibosoni	bosón exterior
wälienselvittely	showdown
wälienselvitys	declaración de intenciones
wälierä	semifinal
wälieräottelu	partido de semifinales
wälietappi	hito
wälihousut	pantalones intermedios
wälihuomautus	heckling
wälihuuto	llamada provisional
wälihyökkääjä	centrocampista
wäli-ilmansuunta	puntos intercardinales
wäliinputoaja	instigador
wäliintulo	Intervenciones
wäli-isäntä	huésped intermediario
wälijohto	enlace
wälijuonto	línea de campo
wälikappale	espaciador
wälikarsina	Acúfenos
wälikatto	techos
wälikausi	temporada media
wälikausitakki	chaqueta Seasonal Transition
wälike	separadores
wälikerros	capa intercalar
wälikilpailu	competencia interseccional
wälikkö	espaciador
wälikohta	sección
wälikohtaus	incidente
wälikoko	tamaño intermedio
wälikorva	oído medio
wälikorvantulehdus	otitis media
wälikorvaontelo	cavidad del oído medio
wälikorvatulehdus	otitis media
wälikyljys	espaciador
wälikysymys	interpelación
wälikysymyskeskustelu	discusión de la pregunta intermedia
wälikäsi	intermediario
wälilasku	aterrizaje
wälilaskupaikka	lugar de escala
wälilehti	pestaña
wälilevy	arandela distanciadora
wäliliha	Perineo
wäliliina	pestaña
wälillisyys	imputabilidad
wälilyönti	Barra Espaciadora
wälilyöntinäppäin	barra espaciadora
wälimaasto	intermedio
wälimatka	Equidistante
wälimatkataulukko	tabla de distancias
wälimerkki	signos de puntuación
wälimies	árbitro
wälimiesmenettely	arbitraje
wälimiesoikeus	Tribunal de arbitraje
wälimuisti	memoria caché
wälimuoto	pieza preforjada
wälimuuri	pared de la cavidad
wäline	herramienta
wälineaine	medio
wälinearvo	valor del instrumento
wälinehuoltaja	mantenedor de instrumentos
wälineistö	material
wälinelaji	tipo de instrumento
wälinerikko	fallo del instrumento
wälineurheilija	atleta de equipo
wälineurheilu	deportes al aire libre
wälinevoimistelu	equipo de gimnasia
wälinpitämättömyys	indolencia
wäliotsikko	subtítulo
wäliovi	puerta de intersección
wälipala	refrigerio
wälipala-automaatti	máquina de aperitivos
wälipalapatukka	snack bar
wälipalvelin	servidor "proxy"
wälipitsi	encaje con dos bordes rectos
wälipohja	entresuela
wäliporras	en la escalera exterior
wälipuhe	acuerdo
wälipuhelu	llamada intermedia
wälipäivä	mediodía
wälipäätös	decisión provisional
wäliraha	pago sustituto
wälirauha	tregua
wälirauhansopimus	acuerdo de armisticio
wälirikko	pausa
wälisarja	serie exterior
wälisatama	puerto de tránsito
wäliseinä	panel de separación
wälisoitto	interludio
wälispiikki	pico
wälistys	espaciadoThe compression will take a long time; saving the file will be slow.
wälistäveto	accionamiento por tracción
wälitavoite	hito
wälitila	estado intermedio
wälitilinpäätös	cuentas provisionales
wälittäjä	mediador
wälittäjäaine	neurotransmisor
wälittömyys	instantaneidad
wälitunti	receso
wälituote	producto intermedio
wälitutkinto	grado intermedio
wälitys	mediación
wälitysehdotus	propuesta de compromiso
wälityskauppa	comercio intermediario
wälitysoikeus	derecho de arbitraje
wälityspalkkio	gasto de corretaje
wälityspalvelin	servidor de red
wälityssuhde	relación de transmisión
wälitystoiminta	corretaje
wälitystuomio	sentencia arbitral
wälitystuomioistuin	tribunal de arbitraje
wälityö	obra intermedia
wälivaihe	fase de reposo
wälivarasto	acumulación temporal
wälivarastointi	Almacenamiento provisional
wäliverho	cortina interior
wäliviiva	guión de separación
wälivuori	entreforro
wälivuosi	año sabático
wälivuoto	fuga
wäljennys	desvinculación
wäljennyshakkuu	tala de dragado
wäljyys	holgura
wälke	ecos indeseados
wälkkä	llamativo
wälkkäri	twinkler
wälkyntä	parpadeo
wälkähdys	parpadeo
wällyt	espaciado
wälppä	rejilla
wälppäys	espaciado
wälskäri	matrona
wälttämättömyys	necesidad
wälttö	evitación
wälys	juego
wälähdys	superposición
wälähtely	parpadeo
wäläys	vislumbrar
wäninä	chirriante
wänkäri	bichero con gancho de uña
wänrikki	Alférez
wänskä	tänskä
wäpätys	bofetada
wäre	ondulación
wäreily	vibración
wärekarva	Ciliar
wäri	color
wäriaine	pigmento
wäriaineteollisuus	industria de los tintes
wäriaisti	sensación de color
wäriaistimus	sensación de color
wärianalyysi	análisis de color
wäriasteikko	escala de colores
wärielokuva	película de color
wärientoisto	reproducción cromática
wärifilmi	película en color
wärigrafiikka	gráficos en color
wärihehku	resplandor de color
wärihuuhtelu	enjuague de color
wärijauhe	polvo de color
wärijäljennös	copia en color
wärikalvo	Iris
wärikartta	atlas de color
wärikasetti	cartucho de tóner
wärikasvi	planta tintórea
wärikauppa	tienda de colores
wärikkyys	crominancia
wärikontrasti	Contraste del color
wärikopio	copia en color
wärikopiointi	copia en color
wärikopiokone	copiadora a color
wärikuula	paintball
wärikuulasota	paintball war
wärikuva	imagen en color
wärikuvaputki	tubo de imagen en color
wärikuvaus	descripción del color
wärikylläisyys	& Saturación
wärikylpy	baño de color
wärikynä	lápiz de color
wärilasi	vidrio de color
wärileikki	juego de colores
wäriliitu	crayón
wärilitografia	cromolitografía
wäriliuos	solución de color
wärillisyys	color
wäriloisto	brillo de color
wärilähetys	transmisión del color
wäriläikkä	mancha de color
wäriläiskä	mancha de color
wärimaailma	esquema de color
wärimalli	Esquema de color
wärimetalli	metal no ferroso
wärimuunnos	conversión de color
wärinauha	cinta entintada
wärinauhakasetti	cartucho de cinta
wärinegatiivi	color negativo
wärinegatiivifilmi	película negativa en color
wärinkesto	estabilidad del color
wärinmuutos	desplazamiento colorimétrico
wärinokkonen	ortiga violeta
wärinpitävyys	solidez del color
wärinpoistoaine	eliminador de manchas
wärintoisto	rendimiento en color
wärinvaihtelu	variación de color
wärinä	vibraciones aeroelásticas
wärinähälytys	alarma de vibración
wärinäkö	Percepción de Color
wärinäyte	muestra de color
wärinäyttö	pantalla a color
wärioppi	teoría del color
wäripainatus	color de impresión
wäripainokuva	imagen de impresión en color
wäripaletti	paleta muestrario de colores
wäripigmentti	pigmento de color
wäripiirros	dibujo a color
wäripilkku	coma de color
wäripinta	superficie de color
wäripistooli	pistola marcadora
wäriraita	barra de un color
wärisekoite	mezclas de colores
wärisekoitus	mezcla colorante
wärisilmä	ojo de color
wäriskaala	plano de pintura
wärisokeus	Daltonismo
wäristys	escalofríos
wärisuora	Escalera de color
wärisymboliikka	simbolismo del color
wärisyys	color
wärisävy	tono
wäritehdas	fábrica de colores
wäritelevisio	televisión en color
wäriteollisuus	industria del color
wärittömyys	incoloro
wäritys	Colorear:
wärityskirja	libro para colorear
wärityyny	cojín de color
wäritäplä	mancha de color
wärivaihtelu	variación de color
wärivalikoima	paleta de colores
wärivalo	luz de color
wärivalokuva	foto en color
wärivalokuvaus	fotografía en color
wärivastaanotin	receptor de color
wärivastakohta	contraste de color
wärivedos	copia multicolor
wärivika	defecto de coloracion
wärivirhe	error de color
wärivivahde	matiz determinado de un color
wärivivahdus	tinte ligero
wärivoide	ungüento de color
wäriyhdistelmä	combinación de colores
wäriympyrä	círculo de color
wärjäri	tintorero
wärjäymä	decoloración
wärjäys	coloración
wärjäytymä	decoloración
wärjääjä	teñidor
wärjäämö	tintorería
wärkki	cosas
wärkkäys	retoques
wärssy	värssy
wärttinä	púa aguja
wärttinähermo	Nervio Radial
wärttinäluu	radio
wärttinävaltimo	arteria radial
wärve	colores
wärväri	color
wärväys	reclutamiento
wärvääjä	reclutador
wärähdys	vibración
wärähdysliike	movimiento vibratorio
wärähdystaajuus	frecuencia de oscilación
wärähtely	fenómeno de flameo
wärähtelyliike	movimiento vibratorio
wärähtelypiiri	circuito oscilante
wärähtelytaajuus	frecuencia de vibración
wäsky	cansado
wäskynä	ciruela damascena
wästinki	tumble Tin
wästäräkki	bastidor
wäsymisilmiö	fenómeno de fatiga
wäsymislujuus	resistencia a la fatiga
wäsymismurtuma	rotura por fatiga
wäsymys	fatiga
wäsymyskohtaus	convulsiones por fatiga
wäsymättömyys	incansabilidad
wäsytys	fatiga
wäsytyskoe	ensayo de fatiga
wäsähdys	fatiga
wäsäys	fatiga
wätys	torsión
wävy	yerno
wävykokelas	candidato a yerno
wävypoika	yerno
wäylä	derrota
wäylämerkki	marcador de fairway
wäylästö	conjunto de autobuses
wääjäämättömyys	inevitabilidad
wäänne	torsión
wäännin	destornillador
wäännös	torsión
wääntely	torsión
wääntymä	deformación
wääntäjä	llave
wääntö	torsión
wääntökampi	manivela torsional
wääntökanki	barra de torsión
wääntöliike	movimiento torsional
wääntömomentti	par de rotación
wääpeli	sargento de artillería
wäärennys	falsificación
wäärennös	falsificación
wäärentäjä	falsificador
wäärinkäsitys	malentendido
wäärinkäyttäjä	mal uso
wäärinkäyttäminen	mal uso
wäärinkäyttö	tarifa abusiva
wäärinkäytös	práctica abusiva
wäärintekijä	infractor
wäärintulkinta	interpretación errónea
wäärinymmärrys	malentendido
wääristely	distorsión
wääristymä	deformación
wääristys	distorsión
wääryys	injusticia
wäärämielisyys	injusticia
wääräoppisuus	infidelidad
wäärävärikuva	imagen en color incorrecta
wäärävärikuvaus	descripción de color falso
wõro	corona
